genus,species,id,year,lat,long,elev,budburst,flowers,fruits,leafout,col.leaves,leafdrop,last.obs,gdd.start,yr.end,type
Betula,alleghaniensis,85762,2017,42.301922,-71.123932,36,102,118,156,117,242,242,242,46,365,Treespotters
Betula,alleghaniensis,85762,2018,42.301922,-71.123932,36,114,118,144,122,272,277,277,46,365,Treespotters
Betula,alleghaniensis,85762,2019,42.301922,-71.123932,36,107,109,159,110,249,261,261,46,365,Treespotters
Betula,alleghaniensis,85762,2020,42.301922,-71.123932,36,108,85,160,126,226,271,271,46,366,Treespotters
Betula,alleghaniensis,85763,2016,42.301922,-71.123932,36,110,111,207,121,281,289,289,46,366,Treespotters
Betula,alleghaniensis,85763,2017,42.301922,-71.123932,36,102,120,156,117,288,288,288,46,365,Treespotters
Betula,alleghaniensis,85763,2018,42.301922,-71.123932,36,118,111,154,122,277,277,277,46,365,Treespotters
Betula,alleghaniensis,85763,2019,42.301922,-71.123932,36,112,112,258,122,265,265,265,46,365,Treespotters
Betula,alleghaniensis,85763,2020,42.301922,-71.123932,36,120,120,264,126,271,271,271,46,366,Treespotters
Betula,alleghaniensis,85764,2016,42.301922,-71.123932,36,102,111,187,114,260,260,260,46,366,Treespotters
Betula,alleghaniensis,85764,2017,42.301922,-71.123932,36,102,108,144,117,218,253,253,46,365,Treespotters
Betula,alleghaniensis,85764,2018,42.301922,-71.123932,36,114,118,159,121,264,277,277,46,365,Treespotters
Betula,alleghaniensis,85764,2019,42.301922,-71.123932,36,106,109,141,110,261,261,261,46,365,Treespotters
Betula,alleghaniensis,85764,2020,42.301922,-71.123932,36,105,196,NA,119,220,244,244,46,366,Treespotters
Betula,nigra,86258,2016,42.301922,-71.123932,36,114,124,NA,132,281,281,281,46,366,Treespotters
Betula,nigra,86258,2017,42.301922,-71.123932,36,100,112,149,118,235,241,241,46,365,Treespotters
Betula,nigra,86258,2018,42.301922,-71.123932,36,125,122,154,125,294,294,294,46,365,Treespotters
Betula,nigra,86258,2019,42.301922,-71.123932,36,112,111,155,126,264,249,249,46,365,Treespotters
Betula,nigra,86258,2020,42.301922,-71.123932,36,126,85,160,128,271,271,271,46,366,Treespotters
Betula,nigra,86259,2016,42.301922,-71.123932,36,111,111,161,127,210,260,260,46,366,Treespotters
Betula,nigra,86259,2017,42.301922,-71.123932,36,100,112,139,108,202,202,202,46,365,Treespotters
Betula,nigra,86259,2018,42.301922,-71.123932,36,118,122,151,125,243,243,243,46,365,Treespotters
Betula,nigra,86259,2019,42.301922,-71.123932,36,107,114,150,122,214,214,214,46,365,Treespotters
Betula,nigra,86259,2020,42.301922,-71.123932,36,126,120,160,128,197,197,197,46,366,Treespotters
