"Phenophase_Description","pheno_obs#"
"Breaking leaf buds",419
"Colored leaves",440
"Falling leaves",428
"Flowers or flower buds",436
"Fruits",529
"Increasing leaf size",441
"Leaves",592
"Open flowers",265
"Pollen release (flowers)",61
"Recent fruit or seed drop",271
"Ripe fruits",274
