"phase","id","pheno_indiv_obs#","Common_Name"
"Pollen release (flowers)",86289,21,"American basswood"
"Pollen release (flowers)",86290,3,"American basswood"
"Pollen release (flowers)",87754,23,"river birch"
"Pollen release (flowers)",87756,6,"white oak"
"Pollen release (flowers)",87757,13,"American basswood"
"Pollen release (flowers)",87758,11,"white oak"
"Pollen release (flowers)",87759,6,"white oak"
"Pollen release (flowers)",87760,5,"northern red oak"
"Pollen release (flowers)",87761,1,"white oak"
"Pollen release (flowers)",87762,6,"American basswood"
"Pollen release (flowers)",87763,9,"American basswood"
"Pollen release (flowers)",88311,6,"white oak"
"Pollen release (flowers)",92204,39,"sugar maple"
"Pollen release (flowers)",92206,13,"sugar maple"
"Pollen release (flowers)",92208,12,"sugar maple"
"Pollen release (flowers)",92209,15,"sugar maple"
"Pollen release (flowers)",166763,5,"red maple"
"Pollen release (flowers)",166764,8,"red maple"
"Pollen release (flowers)",166765,16,"red maple"
"Pollen release (flowers)",166766,3,"red maple"
"Pollen release (flowers)",166767,3,"red maple"
"Recent fruit or seed drop",85751,30,"yellow buckeye"
"Recent fruit or seed drop",85755,40,"yellow buckeye"
"Recent fruit or seed drop",85756,56,"yellow buckeye"
"Recent fruit or seed drop",85757,81,"yellow buckeye"
"Recent fruit or seed drop",85758,57,"yellow buckeye"
"Recent fruit or seed drop",85759,107,"yellow birch"
"Recent fruit or seed drop",85761,47,"yellow birch"
"Recent fruit or seed drop",85762,79,"yellow birch"
"Recent fruit or seed drop",85763,45,"yellow birch"
"Recent fruit or seed drop",85764,64,"yellow birch"
"Recent fruit or seed drop",86258,16,"river birch"
"Recent fruit or seed drop",86259,45,"river birch"
"Recent fruit or seed drop",86260,69,"river birch"
"Recent fruit or seed drop",86261,35,"river birch"
"Recent fruit or seed drop",86262,33,"pignut hickory"
"Recent fruit or seed drop",86263,57,"pignut hickory"
"Recent fruit or seed drop",86264,39,"pignut hickory"
"Recent fruit or seed drop",86265,68,"pignut hickory"
"Recent fruit or seed drop",86266,76,"pignut hickory"
"Recent fruit or seed drop",86268,94,"shagbark hickory"
"Recent fruit or seed drop",86269,89,"shagbark hickory"
