"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","interquartile_range"
"American basswood",2016,"Ripe fruits",87757,297,297,1,297,297,0
"American basswood",2016,"Ripe fruits",87762,294.72,297,25,240,336,35
"American basswood",2016,"Ripe fruits",87763,297.217391304348,298,23,252,336,31
"American basswood",2017,"budburst",86289,102.923076923077,105,52,58,125,12
"American basswood",2017,"budburst",86290,112.526315789474,113,19,101,127,6.5
"American basswood",2017,"budburst",87757,110.173913043478,110,23,104,118,8.5
"American basswood",2017,"budburst",87762,113.111111111111,113,36,97,127,8.75
"American basswood",2017,"budburst",87763,116.818181818182,113,22,106,141,9.25
"American basswood",2017,"Colored leaves",86289,303.53125,315.5,32,85,337,27.75
"American basswood",2017,"Colored leaves",86290,273.8,278,10,234,316,54.25
"American basswood",2017,"Colored leaves",87757,284.2,295,20,85,316,31.25
"American basswood",2017,"Colored leaves",87762,280.375,284.5,8,234,322,52.5
"American basswood",2017,"Colored leaves",87763,263.933333333333,255,15,224,303,45
"American basswood",2017,"flowers",86289,151.851063829787,149,47,105,266,56.5
"American basswood",2017,"flowers",86290,145,143,15,127,170,27.5
"American basswood",2017,"flowers",87757,165.181818181818,163,22,141,190,30.25
"American basswood",2017,"flowers",87762,155.925925925926,159,27,127,186,28.5
"American basswood",2017,"flowers",87763,142.785714285714,142,28,113,180,35.25
"American basswood",2017,"Fruits",86289,244.530864197531,250,81,139,337,88
"American basswood",2017,"Fruits",86290,249.7,234,20,170,336,80.25
"American basswood",2017,"Fruits",87757,244.347222222222,248.5,72,139,337,80.5
"American basswood",2017,"Fruits",87762,246.461538461538,232.5,26,170,336,68
"American basswood",2017,"Fruits",87763,211.333333333333,224,21,141,301,64
"American basswood",2017,"Increasing leaf size",86289,132.759259259259,122.5,54,107,222,28.75
"American basswood",2017,"Increasing leaf size",86290,134.6,127,15,113,202,15
"American basswood",2017,"Increasing leaf size",87757,143.090909090909,137,33,109,222,32
"American basswood",2017,"Increasing leaf size",87762,122.342857142857,118,35,110,202,13.5
"American basswood",2017,"Increasing leaf size",87763,130,120,29,110,224,20
"American basswood",2017,"leaf drop",86289,299.243243243243,309,37,85,337,45
"American basswood",2017,"leaf drop",86290,278.181818181818,288,11,234,322,52.5
"American basswood",2017,"leaf drop",87757,287,301,21,85,323,35
"American basswood",2017,"leaf drop",87762,285.777777777778,301,9,234,329,58
"American basswood",2017,"leaf drop",87763,281.388888888889,278,18,234,336,50.25
"American basswood",2017,"leafout",86289,199.846666666667,184.5,150,85,337,132
"American basswood",2017,"leafout",86290,180.468085106383,163,47,113,316,101
"American basswood",2017,"leafout",87757,199.233009708738,191,103,85,309,110.5
"American basswood",2017,"leafout",87762,167.833333333333,145.5,78,107,322,82.75
"American basswood",2017,"leafout",87763,173.484848484848,148.5,66,107,303,107.75
"American basswood",2017,"Open flowers",86289,156.266666666667,185,15,92,266,99
"American basswood",2017,"Open flowers",86290,143.5,127,4,127,193,16.5
"American basswood",2017,"Open flowers",87757,185.8,184,10,179,200,6.75
"American basswood",2017,"Open flowers",87762,163.7,174.5,10,127,193,40.75
"American basswood",2017,"Open flowers",87763,176.333333333333,176,3,173,180,3.5
"American basswood",2017,"Pollen release (flowers)",86289,224.666666666667,186,3,185,303,59
"American basswood",2017,"Pollen release (flowers)",87757,185.5,185.5,2,185,186,0.5
"American basswood",2017,"Pollen release (flowers)",87762,214,186,3,176,280,52
"American basswood",2017,"Pollen release (flowers)",87763,253,253,1,253,253,0
"American basswood",2017,"Recent fruit or seed drop",86289,268.122807017544,270,57,186,337,61
"American basswood",2017,"Recent fruit or seed drop",86290,298.444444444444,301,9,241,336,34
"American basswood",2017,"Recent fruit or seed drop",87757,267.137254901961,267,51,186,337,63.5
"American basswood",2017,"Recent fruit or seed drop",87762,285.846153846154,288,13,234,336,58
"American basswood",2017,"Recent fruit or seed drop",87763,253.6,241,5,234,301,24
"American basswood",2017,"Ripe fruits",86289,269.285714285714,272,56,177,337,55
"American basswood",2017,"Ripe fruits",86290,281.75,291.5,12,227,336,78.25
"American basswood",2017,"Ripe fruits",87757,267.442307692308,266.5,52,186,337,61.5
"American basswood",2017,"Ripe fruits",87762,271.352941176471,268,17,221,336,67
"American basswood",2017,"Ripe fruits",87763,257.6,241,5,224,301,68
"American basswood",2018,"budburst",86289,141.448275862069,141,29,117,188,33
"American basswood",2018,"budburst",86290,126.142857142857,123,21,118,144,12
"American basswood",2018,"budburst",87757,135.3,125,20,118,173,31.5
"American basswood",2018,"budburst",87762,122.740740740741,122,27,104,144,12.5
"American basswood",2018,"budburst",87763,125.411764705882,122,17,118,144,12
"American basswood",2018,"Colored leaves",86289,291.090909090909,292,11,269,308,23.5
"American basswood",2018,"Colored leaves",86290,265.769230769231,266.5,26,185,315,42.5
"American basswood",2018,"Colored leaves",87757,270.0625,283.5,16,20,308,32
"American basswood",2018,"Colored leaves",87762,269.130434782609,272,23,208,313,37.5
"American basswood",2018,"Colored leaves",87763,269.052631578947,269,19,234,301,28
