common_name,year,phase,tree_id,doy_mean,doy_median,obs_number,first_doy,last_doy,maximn_range,interquartile_range,Common_Name,route,Plant_ID,Species_Nickname,Phenophase_Status,Latitude,Longitude,DBH.cm.,indiv_obs.,spp_obs.,Scientific_Names
pignut hickory,2019,leafout,86266,187.1967213,178,61,111,297,186,106,pignut hickory,Hickory Route,2019*R,Tree 10,1,42.2999657,-71.12566127,45.5,1081,4050,Carya glabra
possumhaw,2019,leafout,169165,202.5263158,184,95,103,321,218,123,possumhaw,Shrub Route,593-2008*A,Tree 6,1,42.30184831,-71.12501015,NA,776,3743,Viburnum nudum
possumhaw,2019,leafout,169166,206.8404255,200.5,94,103,329,226,121.75,possumhaw,Shrub Route,593-2008*B,Tree 7,1,42.30185115,-71.1249796,NA,760,3743,Viburnum nudum
possumhaw,2019,leafout,169167,192.3678161,178,87,103,303,200,117,possumhaw,Shrub Route,593-2008*C,Tree 8,1,42.30182962,-71.12498215,NA,743,3743,Viburnum nudum
possumhaw,2019,leafout,169168,195.3263158,178,95,103,313,210,120,possumhaw,Shrub Route,593-2008*D,Tree 9,1,42.30183491,-71.1249499,NA,808,3743,Viburnum nudum
possumhaw,2019,leafout,169171,212.8043478,209,46,123,321,198,125.25,possumhaw,Peters Hill Route,1104-81*A,Tree 11,1,42.295173,-71.12621128,NA,656,3743,Viburnum nudum
red maple,2019,leafout,166763,158.6451613,142,62,111,296,185,33.25,red maple,Maple Route,1196-84*A,Tree 5,1,42.30388171,-71.12019927,27.3,552,2020,Acer rubrum
red maple,2019,leafout,166764,178.8428571,156,70,111,307,196,100.5,red maple,Maple Route,567-2008*B,Tree 6,1,42.30387168,-71.12031406,8.6,405,2020,Acer rubrum
red maple,2019,leafout,166765,158.5531915,139,47,111,296,185,36,red maple,Maple Route,15350*A,Tree 7,1,42.30387457,-71.12074952,77.5,466,2020,Acer rubrum
red maple,2019,leafout,166766,170.106383,142,47,111,311,200,73.5,red maple,Maple Route,525-2009*A,Tree 8,1,42.30320004,-71.12119722,55.7,278,2020,Acer rubrum
red maple,2019,leafout,166767,164.0465116,141,43,115,296,181,52.5,red maple,Maple Route,524-2009*A,Tree 9,1,42.30316247,-71.12125376,64.2,319,2020,Acer rubrum
river birch,2019,leafout,86258,217.7727273,223,88,124,315,191,121,river birch,Birch Route,1199*D,Tree 5,1,42.30215088,-71.12401559,68,1214,8558,Betula nigra
river birch,2019,leafout,86259,204.5384615,189,143,115,321,206,113.5,river birch,Birch Route,1251-79*A,Tree 3,1,42.30223154,-71.12410601,78,2122,8558,Betula nigra
river birch,2019,leafout,86260,201.335443,181,158,116,319,203,114.75,river birch,Birch Route,1251-79*B,Tree 2,1,42.30228781,-71.12445659,70.8,2459,8558,Betula nigra
river birch,2019,leafout,86261,211.3207547,214,106,115,315,200,114.5,river birch,Birch Route,1199*J,Tree 1,1,42.30252077,-71.12397574,87.5,1357,8558,Betula nigra
river birch,2019,leafout,87754,212.0927835,216,97,124,315,191,125,river birch,Birch Route,1251-79*E,Tree 4,1,42.3022236,-71.12398789,70,1406,8558,Betula nigra
shagbark hickory,2019,leafout,86268,211.2405063,205,79,121,305,184,106,shagbark hickory,Hickory Route,12907*B,Tree 3,1,42.30172976,-71.12580046,54.2,1152,6157,Carya ovata
shagbark hickory,2019,leafout,86269,217.0285714,236,70,125,305,180,110.25,shagbark hickory,Hickory Route,12907*D,Tree 4,1,42.30168924,-71.12587438,49.7,1100,6157,Carya ovata
shagbark hickory,2019,leafout,86270,210.325,208.5,80,119,305,186,95.5,shagbark hickory,Hickory Route,12907*G,Tree 2,1,42.30181554,-71.1256858,57.7,1277,6157,Carya ovata
shagbark hickory,2019,leafout,86271,205.5052632,203,95,124,301,177,98,shagbark hickory,Hickory Route,12907*I,Tree 1,1,42.30185516,-71.12559225,49.1,1227,6157,Carya ovata
shagbark hickory,2019,leafout,86272,212.5730337,208,89,125,317,192,99,shagbark hickory,Hickory Route,12907*N,Tree 5,1,42.30163563,-71.12561522,58.8,1401,6157,Carya ovata
sugar maple,2019,leafout,92203,196.9519231,185,104,123,307,184,101.25,sugar maple,Maple Route,187-2006*B,Tree 1,1,42.30431226,-71.12006593,21.9,737,4643,Acer saccharum
sugar maple,2019,leafout,92204,189.8584071,166,113,111,319,208,110,sugar maple,Maple Route,22834*B,Tree 2,1,42.3040241,-71.12065871,81.9,1522,4643,Acer saccharum
sugar maple,2019,leafout,92206,174.0169492,146,59,111,315,204,74.5,sugar maple,Maple Route,20645*A,Tree 3,1,42.30370116,-71.12007443,85.7,684,4643,Acer saccharum
sugar maple,2019,leafout,92208,177.7446809,152,47,120,311,191,68,sugar maple,Maple Route,12565*C,Tree 4,1,42.30346585,-71.12008242,97.6,633,4643,Acer saccharum
sugar maple,2019,leafout,92209,215.5,221,40,129,302,173,121.75,sugar maple,Peters Hill Route,689-2010*A,Tree 7,1,42.2917509,-71.12781479,73.5,1067,4643,Acer saccharum
white oak,2019,leafout,87756,179.3448276,152,29,123,300,177,69,white oak,Peters Hill Route,611-2010*A,Tree 8,1,42.29281823,-71.12903099,72.7,866,2842,Quercus alba
white oak,2019,leafout,87758,164.5714286,138,7,128,314,186,26,white oak,Oak Route,21815*E,Tree 9,1,42.29918666,-71.12348625,73.3,614,2842,Quercus alba
white oak,2019,leafout,87759,164.5714286,138,7,128,314,186,26,white oak,Oak Route,227-2011*A,Tree 7,1,42.29933201,-71.12435358,66.1,375,2842,Quercus alba
white oak,2019,leafout,87761,223.7333333,274,15,128,314,186,155,white oak,Oak Route,358-82*A,Tree 8,1,42.29920928,-71.12373613,38.4,604,2842,Quercus alba
white oak,2019,leafout,88311,142.2857143,138,7,128,161,33,24.5,white oak,Oak Route,22886*D,Tree 6,1,42.29940788,-71.12438014,87.2,383,2842,Quercus alba
yellow birch,2019,leafout,85759,199.1796875,187.5,128,114,301,187,111.75,yellow birch,Birch Route,12843*A,Tree 6,1,42.3020682,-71.12386246,73.8,2165,9015,Betula alleghaniensis
yellow birch,2019,leafout,85761,201.6813187,209,91,110,301,191,115,yellow birch,Birch Route,12843*D,Tree 7,1,42.30204101,-71.12388059,70.9,1448,9015,Betula alleghaniensis
yellow birch,2019,leafout,85762,193.0425532,187.5,94,110,296,186,116,yellow birch,Birch Route,12843*E,Tree 9,1,42.30194578,-71.12374252,56.2,1910,9015,Betula alleghaniensis
yellow birch,2019,leafout,85763,200.6829268,187.5,82,115,301,186,119.75,yellow birch,Birch Route,12843*H,Tree 8,1,42.30199149,-71.12371027,64.6,1419,9015,Betula alleghaniensis
yellow birch,2019,leafout,85764,195.5697674,183,86,110,301,191,129,yellow birch,Birch Route,629-83*D,Tree 10,1,42.30183747,-71.12308955,36.5,2073,9015,Betula alleghaniensis
yellow buckeye,2019,leafout,85751,157,138,23,111,286,175,22,yellow buckeye,Linden and North Woods Route,12651*C,Tree 7,1,42.30355576,-71.1212595,35.3,758,4753,Aesculus flava
yellow buckeye,2019,leafout,85755,127.1818182,128,11,107,141,34,17.5,yellow buckeye,Linden and North Woods Route,12651*D,Tree 6,1,42.30351523,-71.12133382,60.2,675,4753,Aesculus flava
yellow buckeye,2019,leafout,85756,131.7142857,134.5,14,107,146,39,11.5,yellow buckeye,Linden and North Woods Route,12651*H,Tree 5,1,42.3035604,-71.12143904,49.1,742,4753,Aesculus flava
yellow buckeye,2019,leafout,85757,197.6428571,172.5,42,109,302,193,129.25,yellow buckeye,Peters Hill Route,12651*I,Tree 9,1,42.2931417,-71.12879258,59.2,1261,4753,Aesculus flava
yellow buckeye,2019,leafout,85758,147.4444444,128,27,107,286,179,24.5,yellow buckeye,Linden and North Woods Route,925-79*B,Tree 4,1,42.30391297,-71.12232333,44.5,1317,4753,Aesculus flava
