"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American basswood",2017,"Increasing leaf size",87757,134.88,126,25,109,191,82,23
"American basswood",2017,"Increasing leaf size",87762,121.304347826087,119,23,110,143,33,11
"American basswood",2017,"Increasing leaf size",87763,123.631578947368,120,19,110,149,39,10
"American basswood",2017,"leaf drop",86289,316.631578947368,323,19,260,337,77,19.5
"American basswood",2017,"leaf drop",86290,303,303,1,303,303,0,0
"American basswood",2017,"leaf drop",87757,290.4,295,10,270,309,39,27
"American basswood",2017,"leaf drop",87762,303,303,1,303,303,0,0
"American basswood",2017,"leaf drop",87763,271.875,256.5,8,252,303,51,48.25
"American basswood",2017,"leafout",86289,198.06976744186,183,129,107,337,230,118
"American basswood",2017,"leafout",86290,163.428571428571,143.5,28,113,303,190,68.25
"American basswood",2017,"leafout",87757,199.021978021978,190,91,112,309,197,106
"American basswood",2017,"leafout",87762,150.218181818182,136,55,107,303,196,53
"American basswood",2017,"leafout",87763,168.603773584906,144,53,107,303,196,107
"American basswood",2017,"Open flowers",86289,188.25,188.5,4,185,191,6,5.25
"American basswood",2017,"Open flowers",86290,127,127,2,127,127,0,0
"American basswood",2017,"Open flowers",87757,183.5,183,8,179,190,11,3.75
"American basswood",2017,"Open flowers",87762,176.25,176,4,173,180,7,1.75
"American basswood",2017,"Open flowers",87763,176.333333333333,176,3,173,180,7,3.5
"American basswood",2017,"Pollen release (flowers)",86289,185.5,185.5,2,185,186,1,0.5
"American basswood",2017,"Pollen release (flowers)",87757,185.5,185.5,2,185,186,1,0.5
"American basswood",2017,"Pollen release (flowers)",87763,253,253,1,253,253,0,0
"American basswood",2017,"Recent fruit or seed drop",86289,261.368421052632,263.5,38,186,316,130,39.25
"American basswood",2017,"Recent fruit or seed drop",87757,254.44,260,25,186,295,109,24
"American basswood",2017,"Ripe fruits",86289,266.69696969697,274,33,190,316,126,41
"American basswood",2017,"Ripe fruits",87757,254.142857142857,255,28,186,295,109,25.5
"American basswood",2017,"Ripe fruits",87762,228,228,1,228,228,0,0
"American basswood",2017,"Ripe fruits",87763,225.5,225.5,2,224,227,3,1.5
"American basswood",2018,"budburst",86289,131.538461538462,124,13,117,154,37,33
"American basswood",2018,"budburst",86290,123.071428571429,122,14,118,131,13,6.75
"American basswood",2018,"budburst",87757,132.384615384615,124,13,118,154,36,31
"American basswood",2018,"budburst",87762,123.285714285714,122,14,118,131,13,6.75
"American basswood",2018,"budburst",87763,122.076923076923,122,13,118,131,13,5
"American basswood",2018,"Colored leaves",86289,296.857142857143,301,7,278,308,30,14.5
"American basswood",2018,"Colored leaves",86290,270.666666666667,272,15,234,315,81,30
"American basswood",2018,"Colored leaves",87757,291.7,301,10,262,308,46,27
"American basswood",2018,"Colored leaves",87762,281.384615384615,281,13,250,313,63,21
"American basswood",2018,"Colored leaves",87763,270.333333333333,273.5,12,246,301,55,25.25
"American basswood",2018,"flowers",86289,153.678571428571,154,28,137,180,43,12.25
"American basswood",2018,"flowers",86290,158.681818181818,155,22,133,194,61,26.75
"American basswood",2018,"flowers",87757,142.666666666667,154,9,108,162,54,18
"American basswood",2018,"flowers",87762,155.588235294118,151,17,137,178,41,21
"American basswood",2018,"flowers",87763,142.875,145,8,131,159,28,13.75
"American basswood",2018,"Fruits",86289,254.32,252,25,189,330,141,55
