Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
14585*D,14585,Fagaceae,Fagus,grandifolia,,Fagus grandifolia,Accepted name,"Kruessmann, G. 1985. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. II. Portland, OR: Timber Press. 445 pp.",,,American Beech,Tree,14585,10-15-1885,Plant,"Fagus ferruginea, F. atropunicea, F. americana",Fagus grandif.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,10-01-1885,United States,"Massachusetts, Jamaica Plain",,Bussey Woods,,,,,,,,,,,37-NW,37,NW,42.29833046,-71.12294749,12/31/2017,Alive,,10/19/2017,88.7,C,,,,,,,,,,2.6,No
14585*G,14585,Fagaceae,Fagus,grandifolia,,Fagus grandifolia,Accepted name,"Kruessmann, G. 1985. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. II. Portland, OR: Timber Press. 445 pp.",,,American Beech,Tree,14585,10-15-1885,Plant,"Fagus ferruginea, F. atropunicea, F. americana",Fagus grandif.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,10-01-1885,United States,"Massachusetts, Jamaica Plain",,Bussey Woods,,,,,,,,,,,37-NE,37,NE,42.2983337,-71.12265119,12/31/2017,Alive,,10/19/2017,71.2,C,,,,,,,,,,2.6,No
12907*I,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,19-NW,19,NW,42.30185516,-71.12559225,12/31/2017,Alive,,7/19/2016,49.1,C,,,,,,,,,"Michener, D., 01 Jan 1987, Carya ovata var. fraxinifolia, 2; Dosmann, M., 25 Sep 2020, Carya ovata var. ovata, 3",3.2,No
12907*G,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,19-NW,19,NW,42.30181554,-71.1256858,12/31/2017,Alive,,7/19/2016,57.7,C,,,,,,,,,,3.2,No
12907*B,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,19-NW,19,NW,42.30172976,-71.12580046,12/31/2017,Alive,,7/19/2016,54.2,C,,,,,,,,,,3.2,No
12907*D,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,19-NW,19,NW,42.30168924,-71.12587438,12/31/2017,Alive,,7/19/2016,49.7,C,,,,,,,,,,3.2,No
12907*N,12907,Juglandaceae,Carya,ovata,,Carya ovata var. ovata,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,"Carya ovata var. fraxinifolia, Carya ovata var. pubescens, Carya ovata var. nuttallii",Shagbark Hickory,Tree,12907,10-18-1883,Seed,"Carya alba, Hickoria [Hicoria] ovata, Carya ovata, C. ovata cf. var. fraxinifolia, C. ovata",,var.,ovata,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C. E., Dawson, J. T.","129-153, 155-158",,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,19-NW,19,NW,42.30163563,-71.12561522,12/31/2017,Alive,,7/19/2016,58.8,C,,,,,,,,,,3.2,No
20095*A,20095,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,20095,07-01-1911,Seed,"Carya sp., Carya ovalis, Carya cf. ovalis",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Prof. Charles Sprague Sargent, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Sargent, C. S.",2,,United States,Pennsylvania,,,0.89633,-0.28782,,,,,,,,,18-SE,18,SE,42.30107199,-71.12629543,12/31/2017,Alive,,7/26/2016,67.4,C,,,,,,,,,,3.2,No
20098*A,20098,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,20098,07-01-1883,Seed,"Carya ovalis, Carya glabra",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States via Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J.T., Faxon, C.E.",,07-01-1883,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,25-SW,25,SW,42.29994157,-71.1258635,12/31/2017,Alive,,6/21/2016,60.3,C,,,,,,,,,,3.2,No
6990*A,6990,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,6990,12-29-1909,Seed,"Carya sp., Carya porcina acuta, Carya ovalis obovalis acuta, Carya ovalis var. acuta, Carya ovalis",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Highland Park Herbarium, Rochester, NY, United States",,,,,,"Slavin, B. H.",4,,United States,"New York, [Monroe County], Rochester",,Seneca Park,0.34434,-0.3929,,,,,,,"[Seneca Park is an Olmstedian landscape designed to preserve and allow access to a forested gorge along the Genesee River, hence this collection has been interpreted as wild - JRD 5 NOV 2010].",,25-SW,25,SW,42.30020379,-71.12586584,12/31/2017,Alive,,6/22/2016,43.1,C,,,,,,,,,,3.2,No
