Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
2019*S,2019,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,2019,10-19-1883,Seed,"Carya porcina, Hickoria glabra, Carya glabra",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,25-SW,25,SW,42.29994973,-71.12573747,11/20/2020,Good,,6/21/2016,64.5,C,,,,,,,,,,3.2,No
2019*R,2019,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,2019,10-19-1883,Seed,"Carya porcina, Hickoria glabra, Carya glabra",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,0.5892,-0.21962,,,,,,,,,25-SW,25,SW,42.2999657,-71.12566127,12/31/2017,Alive,,6/21/2016,45.5,C,,,,,,,,,,3.2,No
17527*D,17527,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,17527,11-15-1897,Plant,"Tilia americana, Tilia glabra, Tilia americana",T. americana,,,From a cultivated plant not of known wild origin,XX,X,U,"Thos. Meehan &amp; Son, Germantown, PA, United States",,,,,,,,,,,,,,,,,,,,,,,7-NE,7,NE,42.3051232,-71.12189286,9/16/2019,Good,,6/4/2019,68.1,C,,,,,,,,,,1.16,No
19804*A,19804,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,19804,07-01-1916,Seed,"Tilia sp., Tilia heterophylla",T. americana,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles C. Deam, Bluffton, IN, United States",,,,,,"Deam, C. C.",18806,,United States,Indiana,,,,,,,,,,,,,7-SE,7,SE,42.30440147,-71.12199832,9/11/2019,Fair,,9/11/2019,80.5,C,,,,,,,,,"Mazzeo, P., 01 Jan 1986, Tilia americana, 2",1.16,No
7141*A,7141,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,7141,12-15-1912,Plant,"Tilia stellata, Tilia neglecta",T. americana,,,From a cultivated plant not of known wild origin,XX,X,U,"Ludwig Spaeth, Berlin, Germany",,,,,,,,,,,,,,,,,,,,,,,7-SE,7,SE,42.30415322,-71.12252621,9/11/2019,Good,,9/11/2019,58.9,C,,,,,,,,,"Mazzeo, P., 01 Jan 1986, Tilia americana, 2",1.16,No
925-79*B,925-79,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,925-79,09-24-1979,Seed,Aesculus octandra,Aesc. flava,,,Collected directly from the wild; origin known,,,,1979 Weaver/Nickerson Expedition,,,,,,"Weaver, R. E., Nickerson, J.",,09-13-1979,United States,"North Carolina, Rutherford County",,"Hickory Nut Gorge, Bat Cave",,,,,,Rich woods.,,,,,10-NE,10,NE,42.30391297,-71.12232333,9/11/2019,Good,,9/11/2019,44.5,C,,,,,,,,,,1.16,No
12651*H,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,11-NW,11,NW,42.3035604,-71.12143904,9/17/2019,Fair,,9/17/2019,49.1,C,,,,,,,,,"Michener, D., 01 Jan 1987, Aesculus flava, 2",1.15,No
12651*D,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,11-SW,11,SW,42.30351523,-71.12133382,9/17/2019,Good,,9/17/2019,60.2,C,,,,,,,,,"Michener, D., 01 Jan 1987, Aesculus flava, 2",1.15,No
12651*C,12651,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,12651,07-01-1906,Seed,Aesculus octandra f. vestita,Aesc. flava,,,Collected directly from the wild; origin known,,,,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,07-01-1906,United States,"North Carolina, Buncombe County",,Craggy Mt.,,,,,,,,,,,11-NW,11,NW,42.30355576,-71.1212595,9/17/2019,Good,,9/17/2019,35.3,C,,,,,,,,,,1.15,No
187-2006*B,187-2006,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,187-2006,04-26-2006,Plant,Acer saccharum,A. saccharum,,,Collected directly from the wild; origin known,XX,X,U,"Heritage Seedlings Nursery, Salem, OR, United States",,,,,,,,,United States,Pennsylvania,,From the hills around Pittsburgh.,,,,,,,,,,,8-SE,8,SE,42.30431226,-71.12006593,10/7/2019,Fair,,10/26/2011,21.9,C,,,,,,,,,,1.6,No
20645*A,20645,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,20645,11-09-1928,Plant,Acer saccharum,A. saccharum,,,Information insufficient to determine provenance,,,,"Bay State Nursery, North Abington, MA, United States",,,,,,,,,,,,,,,,,,,,,,,11-NE,11,NE,42.30370116,-71.12007443,10/7/2019,Good,,9/24/2019,85.7,C,,,,,,,,,,1.6,No
22834*B,22834,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,22834,02-02-1950,Seedling,Acer saccharum,A. saccharum,,,From a cultivated plant not of known wild origin,,,,"Dr. Karl Sax, Arnold Arboretum, Jamaica Plain, MA, United States via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Sax, K.",,02-15-1950,United States,Massachusetts,,"Jamaica Plain, Peters Estate",,,,,,,,,,,11-NW,11,NW,42.3040241,-71.12065871,9/9/2020,Good,,9/23/2019,81.9,C,at 0.5m,,,,,,,,"Delendick, T.J., 15 May 1986, Acer saccharum, 2",1.6,No
12565*C,12565,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,12565,10-15-1883,Plant,Acer saccharinum; A. barbatum; A. saccharum glaucum,A. saccharum,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",828-833,10-15-1883,United States,"Massachusetts, Malden",,,,,,,,,,,,,11-SE,11,SE,42.30346585,-71.12008242,10/7/2019,Fair,,10/7/2019,97.6,C,at 0.8m,,,,,,,,"Delendick,T.J., 01 May 1986, Acer saccharum, 2",1.6,No
1196-84*A,1196-84,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,,Red Maple,Tree,1196-84,10-15-1984,Plant,Acer rubrum,A. rubrum,,,Collected directly from the wild; origin known,,,,"Mr. Gary L. Koller, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Koller, G. L.",,10-12-1984,United States,"Massachusetts, Norfolk County",,"Blue Hills Reservation, near intersection of Rte. 128 and Ponkapoag Trail, along access road to Ponkapoag Pond",,,,,,,,,,,11-NE,11,NE,42.30388171,-71.12019927,10/7/2019,Good,,9/24/2019,27.3,C,,,,,,,,,,1.6,No
15350*A,15350,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,,Red Maple,Tree,15350,04-16-1924,Plant,Acer rubrum,A. rubrum,,,Information insufficient to determine provenance,,,,"Kelsey Highlands Nursery, East Boxford, MA, United States",,,,,,,,,,,,,,,,,,,,,,,11-NW,11,NW,42.30387457,-71.12074952,9/23/2019,Good,,9/23/2019,77.5,C,,,,,,,,,"Delendick, T., 15 May 1986, Acer rubrum, 2",1.6,No
525-2009*A,525-2009,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,,Red Maple,Tree,525-2009,09-09-2009,Existing plant,Acer rubrum,A. rubrum,,,Information insufficient to determine provenance,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30320004,-71.12119722,9/17/2019,Good,,9/17/2019,55.7,C,,,,,,,,,,1.15,No
567-2008*B,567-2008,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,,Red Maple,Tree,567-2008,10-16-2008,Seedling,Acer rubrum,A. rubrum,,,Collected directly from the wild; origin known,VM,,SA,DACK-08 Adirondack Expedition 2008,27A,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",27A,10-07-2008,United States,"New York, Franklin Co., Paul Smiths",,5. Black Pond near Adirondack Park Visitor Interpretive Center - North 300 m from Black Pond.,0,0,514,M,10°° NE,"Mesic woodland, canopy gap from recent (5 years?) Tsuga blow down. Growing in 0.5 shade.","Sandy, high organic matter","These are 2 - 3 month old seedlings; Mature trees in area, huge (to 23.0 m) and with very shaggy bark. < 15.24 cm.",Some Acer spicatum in area and some of these small seedlings may be that species. Collections made from ca. 20 plants.,"Abies balsamea, Acer platanoides, Acer spicatum, Betula alleghaniensis, Cornus canadensis, Fagus grandifolia, Picea sp., Tsuga canadensis, Viburnum lantanoides",11-NE,11,NE,42.30387168,-71.12031406,10/7/2019,Good,,10/7/2019,8.6,C,,,,,,,,,,1.6,No
524-2009*A,524-2009,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp. * New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London. * Radford, A.E., H.E. Ahles, C.R. Bell 1968. Manual of the Vascular Flora of the Carolinas. Chapel Hill: UNC Press. 1-1183 pp.",,,Red Maple,Tree,524-2009,09-09-2009,Existing plant,Acer rubrum,A. rubrum,,,Information insufficient to determine provenance,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30316247,-71.12125376,9/17/2019,Good,,9/17/2019,64.2,C,,,,,,,,,,1.15,No
8197*A,8197,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Fernald, M.L. 1950. Gray's New Manual of Botany. (8th ed.). New York: American Book Company. 1-1632 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,8197,07-01-1916,Seed,"Quercus shumardii, Quercus borealis maxima, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,,United States,Tennessee,,,,,,,,,,,,,25-SE,25,SE,42.2999685,-71.12424385,12/31/2017,Alive,,10/17/2017,66.2,C,,,,,,,,,,2.7,No
11253*A,11253,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Fernald, M.L. 1950. Gray's New Manual of Botany. (8th ed.). New York: American Book Company. 1-1632 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,11253,01-13-1917,Seed,"Quercus borealis?, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T. G.",,,United States,"North Carolina, Highlands",,,,,,,,,,,,,25-SE,25,SE,42.30002036,-71.12432118,12/31/2017,Alive,,10/17/2017,69.5,C,,,,,,,,,,2.7,No
5859*A,5859,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Fernald, M.L. 1950. Gray's New Manual of Botany. (8th ed.). New York: American Book Company. 1-1632 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,5859,09-02-1908,Seed,"Quercus borealis, Quercus borealis maxima, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"New Hampshire, Littleton",,,,,,,,,,,,,26-SW,26,SW,42.29994632,-71.12375725,1/22/2020,Alive,,8/24/2017,80.7,C,,,,,,,,,,2.7,No
5859*B,5859,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Fernald, M.L. 1950. Gray's New Manual of Botany. (8th ed.). New York: American Book Company. 1-1632 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,5859,09-02-1908,Seed,"Quercus borealis, Quercus borealis maxima, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"New Hampshire, Littleton",,,,,,,,,,,,,26-SW,26,SW,42.29996131,-71.12363106,12/31/2017,Alive,,8/24/2017,92.6,C,,,,,,,,,,2.7,No
16882*B,16882,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Fernald, M.L. 1950. Gray's New Manual of Botany. (8th ed.). New York: American Book Company. 1-1632 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,16882,10-19-1916,Seed,"Quercus texana, Quercus texana shumardi, Quercus shumardii, Quercus borealis maxima, Quercus borealis, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Thomas Grant Harbison, Highlands, NC, United States",,,,,,"Harbison, T.G.",7,,United States,"Alabama, Birmingham",,,,,,,,,,,,,32-NW,32,NW,42.29961037,-71.12377523,12/31/2017,Alive,,10/18/2017,61.6,C,,,,,,,,,,2.7,No
22886*D,22886,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak",Tree,22886,07-01-1950,Existing plant,Quercus alba,Q. alba,,,Information insufficient to determine provenance,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,31-NE,31,NE,42.29940788,-71.12438014,12/31/2017,Alive,,10/17/2017,87.2,C,,,,,,,,,,2.7,No
227-2011*A,227-2011,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak",Tree,227-2011,07-26-2011,Existing plant,Quercus alba,Q. alba,,,Information insufficient to determine provenance,,,,"Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,31-NE,31,NE,42.29933201,-71.12435358,12/31/2017,Alive,,10/17/2017,66.1,C,,,,,,,,,,2.7,No
358-82*A,358-82,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak",Tree,358-82,03-25-1982,Seed,Quercus alba,Q. alba,,,Collected directly from the wild; origin known,,,,"Eco-Gardens, Decatur, GA, United States",,,,,,"Jacobs, D.",,,United States,"Georgia, Decatur",,,,,,,,,,,,,32-NW,32,NW,42.29920928,-71.12373613,12/31/2017,Alive,,10/18/2017,38.4,C,,,,,,,,,,2.7,No
21815*E,21815,Fagaceae,Quercus,alba,,Quercus alba,Accepted name,"Kruessmann, G. 1986. Manual of Cultivated Broad-leaved Trees &amp; Shrubs. Vol. III. Portland, OR: Timber Press. 510 pp. * Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,,"White Oak, Eastern White Oak",Tree,21815,07-01-1931,Existing plant,Quercus alba,Q. alba,,,Information insufficient to determine provenance,XX,X,U,Unknown,,,,,,,,,,,,,,,,,,,,,,,32-NW,32,NW,42.29918666,-71.12348625,12/31/2017,Alive,,10/18/2017,73.3,C,,,,,,,,,,2.7,No
1323-82*A,1323-82,Malvaceae,Tilia,americana,,Tilia americana,Accepted name,"Arnold Arboretum, C.S. no date. Label Information Book. Jamaica Plain, MA: Arnold Arboretum. (unpublished). * Rehder, A. 1940. Manual of Cultivated Trees and Shrubs Hardy in North America (ed. 2). New York, NY: Macmillan Co. 996 pp.",,,"American Linden, American Basswood",Tree,1323-82,10-08-1982,Plant,Tilia americana,T. americana,,,Collected directly from the wild; origin known,XX,X,SA,"Ms. Ida Hay, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Hay, I., Geary, S.",,10-05-1982,United States,"Massachusetts, Franklin County, West Whately",,,,,,,,,,,,,51-NW,51,NW,42.29514117,-71.12601307,8/6/2020,Alive,,10/27/2015,83.6,C,,,,,,,,,,4.13,No
16611*F,16611,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,"2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press. * Eckenwalder, J.E. 1977. North American Cottonwoods (Populus, Salicaceae) of Sections Abaso and Aigeiros. Journal of the Arnold Arboretum 58:193-208.",,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",,Tree,16611,08-15-1895,Seedling,"Populus monilifera, P. deltoides, P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Chateauguay",,,,,,,,,,,August 1895 and September 1896,,51-SE,51,SE,42.29432229,-71.12466088,12/31/2017,Alive,,10/7/2015,91.4,C,,,,,,,,,"Eckenwalder, J. E., 01 Jan 1989, Populus deltoides ssp. deltoides, 3",4.4,No
16611*J,16611,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,"2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press. * Eckenwalder, J.E. 1977. North American Cottonwoods (Populus, Salicaceae) of Sections Abaso and Aigeiros. Journal of the Arnold Arboretum 58:193-208.",,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",,Tree,16611,08-15-1895,Seedling,"Populus monilifera, P. deltoides, P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Chateauguay",,,,,,,,,,,August 1895 and September 1896,,55-NE,55,NE,42.2941909,-71.12464076,12/31/2017,Alive,,7/21/2015,68.6,C,,,,,,,,,,4.12,No
